,Student Name,Department,Physics,Mathematics,Chemistry,AI,Term Work,DOB
0,Amber Hardy,mech,36.0,,65.2,96.0,1,2002-4-23
1,Jason Moore,mech,49.0,61.0,10.0,75.0,7,2002-5-3
2,Dora Lawing,mech,45.0,100.0,99.0,,8,2002-10-14
3,Richard Yun,mech,75.0,23.0,72.9,62.0,6,2003-5-13
4,Melissa Osorno,mech,70.0,21.0,93.0,99.0,8,2003-9-28
5,Heather Ellwanger,entc,82.0,11.0,88.0,27.8,1,2003-2-25
6,Alice Boling,entc,22.0,65.0,45.0,28.0,2,2002-6-29
7,Vicky Franzoni,entc,17.0,14.0,243.0,16.1,5,2003-11-25
8,Margaret Orf,comp,93.0,28.0,53.0,58.0,5,2003-5-13
9,Thomas Bell,entc,11.0,59.0,45.0,99.0,4,2001-8-2
10,Marion Cole,comp,64.0,89.0,23.0,63.0,9,2003-12-12
11,Cecil Keaton,entc,76.0,6.0,40.0,59.0,1,2002-11-17
12,Bonnie Holmes,mech,89.0,31.0,81.0,,3,2001-7-3
13,Noemi Woods,comp,68.0,,78.0,98.0,8,2001-8-18
14,Loren Cobb,comp,4.0,72.0,29.0,,2,2002-6-27
15,Tracy Rodriguez,entc,43.0,3.0,34.0,72.0,9,2003-9-1
16,Angela Arenas,comp,58.0,9.0,287.0,5.0,1,2002-7-22
17,Richard Thomas,entc,75.0,74.0,50.0,85.0,1,2001-9-22
18,Jill Burrough,comp,93.0,44.5,57.6,,7,2001-5-11
19,Jimmie Mckee,mech,62.0,61.0,52.0,100.0,6,2003-3-28
20,Mary Sharrer,entc,50.0,80.0,83.0,58.0,9,2002-10-22
21,Janet Williams,mech,99.0,80.0,154.0,46.0,2,2001-8-15
22,Clifford Turton,mech,90.0,19.0,42.0,63.0,7,2001-8-19
23,Lee Negron,comp,,71.0,256.0,,2,2002-12-5
24,Sylvia Wilson,comp,75.0,8.0,19.0,81.0,6,2002-11-15
25,Michelle Siegfried,mech,,69.0,55.0,61.0,5,2001-8-13
26,Chad Serrato,comp,61.0,44.5,49.0,,5,2003-2-5
27,Roland Bailey,comp,,1.0,43.0,40.0,6,2003-3-22
28,Joy Rodriguez,comp,63.0,80.0,54.0,18.8,10,2003-8-4
29,Leisa Rama,entc,82.0,73.0,65.6,100.0,2,2002-5-1
30,Victor Carder,comp,24.0,,33.0,7.5,8,2001-7-28
31,Andrew Grey,comp,57.0,13.0,59.3,21.9,8,2002-7-5
32,Steven Lytle,mech,50.0,89.0,89.0,94.0,5,2002-8-22
33,David Romanowski,mech,65.0,92.0,269.0,8.5,2,2003-6-5
34,Racheal Mcmullen,mech,57.0,75.0,63.8,20.3,7,2001-12-7
35,Kathleen Brown,entc,41.0,81.0,201.0,94.0,10,2003-9-12
36,Concepcion Nunez,mech,5.0,98.0,2.0,81.0,1,2003-8-29
37,Edward Jackson,mech,97.0,64.0,57.1,66.0,3,2002-5-5
38,Dorothy Bethel,entc,80.0,88.0,44.0,61.0,10,2002-3-15
39,Theodore Stone,comp,20.0,16.0,61.7,60.0,10,2003-2-20
40,Harvey Mcgeeney,comp,69.0,85.0,78.0,98.0,5,2002-3-9
41,Rebecca Viner,entc,83.0,51.2,41.0,40.0,8,2001-8-6
42,Robert Chong,mech,74.0,17.0,42.0,85.0,2,2002-1-22
43,John Baughman,entc,,15.0,22.0,53.0,6,2002-10-25
44,Thomas Maldonado,entc,48.0,,95.0,82.0,9,2001-2-1
45,Dudley Fisher,comp,73.0,9.0,13.0,,4,2001-2-1
46,Robert Harvey,mech,,20.0,68.5,59.0,3,2003-4-26
47,Monica Libby,entc,55.0,69.0,52.0,63.0,7,2003-5-6
48,Betty Quelette,mech,8.0,11.0,85.0,78.0,4,2001-5-24
49,George Shatley,entc,39.0,16.0,250.0,86.0,10,2002-9-23
50,Elizabeth Myers,entc,,,63.5,22.1,2,2002-8-1
51,Bethann Pfaff,entc,88.0,,56.4,67.0,4,2003-2-10
52,Matthew Olney,comp,49.0,32.0,5.0,,10,2002-2-16
53,Mae Lovitz,mech,,16.0,60.9,58.0,7,2003-5-1
54,Esther Chynoweth,mech,54.0,62.0,236.0,57.0,7,2002-4-28
55,Jose Yeoman,mech,,62.0,68.5,30.2,2,2002-6-22
56,Amos Adams,entc,,84.0,2.0,,7,2001-6-19
57,Mildred Arrington,mech,48.0,,216.0,29.6,4,2001-4-4
58,Andrea Driver,mech,78.0,63.0,153.0,54.0,4,2001-8-29
59,Teresa Hanna,comp,97.0,11.0,68.8,,4,2002-4-6
60,Keneth Torres,mech,43.0,13.0,50.0,18.2,7,2001-5-27
61,David Seidel,comp,37.0,53.0,36.0,90.0,8,2001-2-28
62,Velma Johnson,comp,85.0,78.0,207.0,82.0,3,2003-10-23
63,Carla Willmann,entc,11.0,46.1,3.0,51.0,1,2001-7-25
64,Janet Davis,mech,46.0,71.0,64.7,20.5,3,2003-1-27
65,Patricia Schrum,entc,56.0,72.0,199.0,67.0,5,2001-2-15
66,John Henderson,comp,95.0,18.0,44.0,94.0,7,2003-9-29
67,Joe Scontras,comp,22.0,73.0,92.0,66.0,7,2001-5-8
68,Arturo Beattie,comp,87.0,81.0,189.0,51.0,5,2001-10-24
69,Jon Allen,mech,74.0,,70.8,96.0,2,2003-5-14
70,Evan Mcintyre,mech,95.0,44.4,48.0,69.0,7,2001-4-11
71,Kayleen Sell,comp,89.0,60.0,1.0,44.0,7,2001-1-22
72,Allan Giraldo,entc,63.0,8.0,74.7,48.0,6,2002-10-25
73,Deandre Matteo,comp,68.0,,2.0,83.0,3,2001-5-25
74,William Weiss,mech,39.0,,219.0,20.1,7,2003-6-3
75,Rodrigo Graham,comp,58.0,96.0,43.0,,8,2002-8-5
76,Gabriel Beale,entc,37.0,33.0,50.0,99.0,8,2002-9-21
77,Wanda Hazard,mech,82.0,85.0,23.0,99.0,1,2003-1-11
78,Michael Blackwell,comp,45.0,68.0,63.8,,2,2002-9-18
79,Louis Hudnall,entc,,64.0,6.0,84.0,7,2001-11-20
80,Bruce Dieteman,mech,,9.0,64.0,38.0,5,2003-4-19
81,Robert Rush,entc,49.0,66.0,20.0,,6,2001-9-3
82,Richard Soriano,comp,,98.0,97.0,22.0,7,2001-10-21
83,Richard Gary,comp,84.0,59.0,97.0,19.6,9,2001-6-21
84,Herbert Jasper,comp,51.0,34.0,27.0,65.0,6,2003-12-15
85,Sue Sartori,mech,1.0,98.0,46.0,98.0,4,2001-12-15
86,Yvonne Jennings,entc,73.0,41.3,298.0,2.9,2,2002-2-21
87,Larry Bewick,entc,39.0,,55.0,90.0,8,2001-4-26
