,Student Name,Department,Physics,Mathematics,Chemistry,AI,Term Work,DOB
0,Robert Arnold,comp,,56.0,68.0,26.9,5,2001-12-29
1,Jimmy Higgins,entc,51.0,36.4,36.0,25.1,10,2003-8-15
2,Laurette Hairston,entc,76.0,58.0,85.0,7.8,4,2003-4-1
3,Johnnie Williams,comp,59.0,73.0,27.0,55.0,8,2001-6-4
4,Elaine Nunes,comp,70.0,4.0,21.0,95.0,7,2001-12-17
5,Rosario Stewart,entc,98.0,76.0,73.0,60.0,7,2002-10-20
6,Michael Hodges,entc,83.0,20.0,60.3,,2,2002-2-22
7,Valerie Rose,comp,,64.0,72.2,78.0,10,2002-10-25
8,Thomas Sandoval,mech,38.0,6.0,84.0,2.1,10,2003-7-11
9,Evan Eguia,entc,88.0,18.0,42.0,66.0,4,2002-6-19
10,Carlos Keiser,comp,,30.0,71.1,97.0,3,2001-3-27
11,Duncan Gonzalez,entc,88.0,20.0,43.0,51.0,3,2003-6-7
12,Rupert Fleming,comp,74.0,95.0,59.4,74.0,2,2002-9-24
13,Arthur Fernandes,comp,84.0,62.0,57.1,92.0,3,2002-1-27
14,Peter Nicley,entc,46.0,39.9,86.0,91.0,1,2001-11-14
15,Linda Bostwick,comp,68.0,60.0,159.0,,5,2002-6-8
16,Truman Morrill,entc,59.0,,60.8,71.0,1,2002-3-17
17,Johnny Scott,mech,94.0,80.0,196.0,,4,2003-9-3
18,Victor Via,entc,67.0,64.0,51.0,17.3,1,2003-8-15
19,Madeleine Springer,comp,92.0,62.0,41.0,93.0,4,2002-11-21
20,Larry Richards,entc,69.0,77.0,72.3,73.0,8,2002-8-26
21,Dan Robinson,comp,96.0,26.0,64.0,59.0,4,2003-1-18
22,Edward Whitfield,comp,,73.0,11.0,16.2,5,2002-3-29
23,Linda Southern,mech,67.0,19.0,36.0,81.0,4,2002-5-7
24,Wilfred Buchanan,comp,80.0,80.0,15.0,,6,2001-3-28
25,Diane Velasco,mech,,,43.0,,2,2003-3-29
26,Joseph Mcmillan,entc,69.0,,3.0,19.6,8,2001-1-12
